Name,Field(s),Date,Notes,Cleaned_Notes
Eva Ekeblad,,1724-1786,Swedish agronomist,Swedish agronomist
Hannah English Williams,,1722,collector of natural history in the American British Colonies,collector of natural history in the American British Colonies
Dorothea Erxleben,,1715-1762,German physician,German physician
Charlotta FrÃ¶lich,,1698-1770,Swedish agronomist and historian,Swedish agronomist and historian
Elizabeth Fulhame,,1794,British chemist,British chemist
Lucia Galeazzi Galvani,,1743-1788,Italian physician,Italian physician
Sophie Germain,,1776-1831,"elasticity theory, number theory","elasticity theory, number theory"
Clelia Durazzo Grimaldi,,1760-1830,Italian botanist,Italian botanist
Catherine Littlefield Greene,,1755-1814,American inventor,American inventor
SalomÃ©e Halpir,,1718-1763,Lithuanian oculist,Lithuanian oculist
Caroline Herschel,,1750-1848,German-British astronomer,German-British astronomer
Catherine JÃ©rÃ©mie,,1664-1744,French-Canadian botanist,French-Canadian botanist
Christine Kirch,,1696-1782,German astronomer,German astronomer
Margaretha Kirch,,1703-1744,German astronomer,German astronomer
Maria Margarethe Kirch,,1670-1720,German astronomer,German astronomer
Marie Lachapelle,,1769-1821,French midwife,French midwife
Marie-Jeanne de Lalande,,1760-1832,French astronomer,French astronomer
Marie Paulze Lavoisier,,1758-1836,French chemist and illustrator,French chemist and illustrator
Nicole-Reine Lepaute,,1723-1792,French astronomer,French astronomer
Elisabeth Christina von LinnÃ©,,1743-1782,Swedish botanist,Swedish botanist
Martha Daniell Logan,,1704-1779,American horticulturalist,American horticulturalist
Eliza Lucas,,1722-1793,American agronomist and indigo dye pioneer,American agronomist and indigo dye pioneer
Maria Lullin,,1750-1831,Swiss entomologist,Swiss entomologist
Catharine Macaulay,,1731-1791,British social scientist,British social scientist
Anna Morandi Manzolini,,1716-1774,Italian physician and anatomist,Italian physician and anatomist
Marie Le Masson Le Golft,,1750-1826,French naturalist,French naturalist
Sybilla Masters,,1675-1720,patent for a corn mill,patent for a corn mill
Lady Anne Monson,,1726-1776,English botanist,English botanist
Maria Petraccini,,1759-1791,Italian anatomist and physician,Italian anatomist and physician
Zaffira Peretti,,1780,Italian anatomist and physician,Italian anatomist and physician
Claudine Picardet,,1735-1820,"rench chemist, mineralogist and meteorologist","rench chemist, mineralogist and meteorologist"
Louise du Pierry,,1746-1807,French astronomer,French astronomer
Marie Anne Victoire Pigeon,,1724-1767,French mathematician,French mathematician
Faustina Pignatelli,,1705-1785,Italian physicist,Italian physicist
Anna Barbara Reinhart,,1730-1796,Swiss mathematician,Swiss mathematician
Cristina Roccati,,1732-1797,Italian physics teacher,Italian physics teacher
Jane Squire,,1686-1743,English mathematician,English mathematician
Clotilde Tambroni,,1758-1817,Italian philologist and linguistic,Italian philologist and linguistic
Petronella Johanna de Timmerman,,1723-1786,Dutch scientist,Dutch scientist
Wang Zhenyi,,1768-1797,Chinese astronomer,Chinese astronomer
Maria Czaplicka,,1884-1921,Polish cultural anthropologist,Polish cultural anthropologist
Alice Cunningham Fletcher,,1838-1923,American ethnologist,American ethnologist
Johanna Mestorf,,1828-1909,German prehistoric archaeologist,German prehistoric archaeologist
Margaret Murray,,1863-1963,British anthropologist,British anthropologist
ClÃ©mence Royer,,1830-1902,French anthropologist,French anthropologist
Ellen Churchill Semple,,1863-1932,American geographer,American geographer
Praskovja Uvarova,,1840-1924,Russian archaeologist,Russian archaeologist
Cornelia Horsford,,1861- 1941,American archaeologist,American archaeologist
Lady Hester Stanhope,,1776-1839,British archaeologist,British archaeologist
ZsÃ³fia Torma,,1832-1899,"Hungarian archaeologist, paleologist, anthropologist","Hungarian archaeologist, paleologist, anthropologist"
Mary Albertson,,1838-1914,American botanist and astronomer,American botanist and astronomer
Annie Jump Cannon,,1863-1941,American astronomer,American astronomer
Agnes Mary Clerke,,1842-1907,British astronomer,British astronomer
Florence Cushman,,1860-1940,American astronomer,American astronomer
Cecilia Payne-Gaposchkin,,1900-1979,American astronomer and astrophysicist,American astronomer and astrophysicist
Williamina Fleming,,1857-1911,Scottish/American astronomer,Scottish/American astronomer
Caroline Herschel,,1750-1848,German astronomer active in England,German astronomer active in England
Margaret Lindsay Murray Huggins,,1848-1915,British astronomer,British astronomer
Henrietta Swan Leavitt,,1868-1921,American astronomer,American astronomer
Annie Russell Maunder,,1868-1947,Irish astronomer,Irish astronomer
Antonia Caetana Maury,,1866-1952,American astronomer,American astronomer
Maria Mitchell,,1818-1889,American astronomer,American astronomer
Isis Pogson,,1852-1945,British astronomer,British astronomer
Caterina Scarpellini,,1808-1873,Italian astronomer,Italian astronomer
Sarah Frances Whiting,,1846-1927,American astronomer and physicist,American astronomer and physicist
Mary Watson Whitney,,1847-1921,American astronomer,American astronomer
Anna Winlock,,1857-1904,American astronomer,American astronomer
Mary Anning,,,,
Frances Acton,,1793-1881,British botanist,British botanist
Elizabeth Cary Agassiz,,1822-1907,American natural historian,American natural historian
Mary Anning,,1799-1847,British natural historian,British natural historian
Emily Arnesen,,1876-1928,Norwegian zoologist,Norwegian zoologist
Anna Atkins,,1799-1871,British botanist,British botanist
Harriet Henrietta Beaufort,,1778-1865,British botanist,British botanist
Isabella Bird Bishop,,1831-1904,British natural historian,British natural historian
Priscilla Susan Bury,,1799-1872,English botanist,English botanist
